shape_id,road_grade(%)
3096.0,-2.429
3100.0,-3.604
3104.0,0.0
3111.0,-3.604
3112.0,-3.604
3113.0,-2.081
3114.0,-1.562
3119.0,-2.562
3126.0,-1.562
3128.0,-1.839
3130.0,-0.681
3132.0,-1.063
3136.0,-2.405
3145.0,-2.134
3149.0,-1.562
3152.0,-3.694
3153.0,-0.835
3166.0,-3.604
3168.0,-2.979
3172.0,-3.839
3175.0,-1.743
3179.0,-1.743
3204.0,-3.604
3211.0,-3.694
3215.0,0.0
3218.0,0.0
3219.0,-3.184
3221.0,-3.184
3223.0,-3.02
3224.0,-3.184
3231.0,-1.743
3234.0,-0.974
3243.0,-2.061
3244.0,0.0
3247.0,-2.701
3249.0,-3.604
3252.0,-3.904
3258.0,-4.531
3259.0,-4.254
3260.0,-2.448
3261.0,-2.492
3262.0,-1.839
3264.0,-3.694
3265.0,-2.797
3269.0,-3.24
3271.0,-3.24
3272.0,-2.577
3273.0,-3.24
3274.0,-0.676
3275.0,-1.116
3276.0,-1.562
3277.0,-1.562
3278.0,-1.562
3279.0,-1.743
3280.0,-3.258
3281.0,-1.743
3282.0,-4.531
3283.0,-3.3
3284.0,-2.061
3286.0,-2.061
3287.0,-2.204
3288.0,-2.061
3289.0,-2.081
3292.0,-3.604
3293.0,-1.791
3296.0,-1.743
3297.0,-0.676
3298.0,-4.531
3299.0,-2.562
3300.0,-2.061
3301.0,-3.694
3302.0,-3.586
3303.0,-2.061
3304.0,-1.743
3305.0,-3.24
3306.0,-3.02
3307.0,-1.743
3308.0,-1.562
3309.0,-2.204
3310.0,-1.743
3311.0,-3.24
3312.0,-2.701
3313.0,-2.448
3314.0,-1.743
3315.0,-1.562
3316.0,-2.061
3317.0,-1.562
3318.0,-3.258
3319.0,-1.743
3320.0,-2.979
3321.0,-1.562
3322.0,-1.562
3323.0,-3.24
