trip_id,co2_emission
135552:303006,8.107097129643078
135626:304538,9.53869990493347
135576:304128,7.28114042044584
135632:303958,8.060820047514836
135597:304272,6.059278794303873
135177:304439,6.820153711842389
135162:304275,5.03353737236437
135180:304305,5.778625911903719
135165:303874,4.172437029926561
135183:304437,4.9042730525935445
135168:304385,3.9180402044177294
135186:303965,4.645470411369735
135171:304237,3.2360266489571177
135189:304184,3.952960522664922
135174:304345,2.663482639723369
135192:304501,3.371604939717176
135199:304191,2.2113926898726257
135201:304527,2.1504350449457488
135194:303916,2.0010447369503908
135202:304042,1.9376188691081666
135198:304384,1.811103758729202
135200:304398,1.7454491234162375
135195:304114,1.6395899659567064
135203:304182,1.5719227877701916
135197:303985,1.4847156392753407
135193:304100,1.4152311657132182
135196:304211,1.3448664954993514
135204:304462,1.273741032060386
