route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,fuel_consumed,co2_emission,fuel_cost,total_time,total_distance,maintenance_cost,operation_cost,trip_type,energy_rate,energy_consumed,initial_soc,soc_before_charge,final_soc,charge_time,energy_charged,energy_cost
3M,135676:300162,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,06:25:00,06:44:00,1.7733333333333332,4.163786666666666,3.5466666666666664,19.0,7.179,3.768975,26.916666666666664,service,0,0,0,0,0,0,0,0
3M,135564:301619,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,07:00:00,07:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135696:299795,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,07:30:00,07:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135578:300760,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,08:00:00,08:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135714:299947,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,08:30:00,08:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135592:301716,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,09:00:00,09:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135731:299454,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,09:30:00,09:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135347:300818,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,10:00:00,10:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135380:300584,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,10:30:00,10:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135351:300109,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,11:00:00,11:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135384:300253,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,11:30:00,11:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135355:299447,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,12:00:00,12:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135388:299394,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,12:30:00,12:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135359:300239,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,13:00:00,13:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135392:300045,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,13:30:00,13:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135363:300415,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,14:00:00,14:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135396:300528,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,14:30:00,14:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135367:299261,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,15:00:00,15:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135400:300793,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,15:30:00,15:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135371:301146,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,16:00:00,16:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135404:300448,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,16:30:00,16:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135375:300901,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,17:00:00,17:29:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,8.491,4.457775,41.083333333333336,service,0,0,0,0,0,0,0,0
3M,135408:301708,MEMORIAL to Airport,Waterfront Terminal,City Hall Terminal,17:30:00,17:59:00,2.7066666666666666,6.355253333333333,5.413333333333333,29.0,7.828,4.1097,41.083333333333336,service,0,0,0,0,0,0,0,0
