,134655:299703,134656:299287,134659:301600,134657:300755,134661:301404,134660:301588,134658:299728
Frederica & Brown,7:25 AM,8:48 AM,12:30 PM,1:55 PM,3:05 PM,4:30 PM,5:55 PM
Frederica & 200s Block,7:25 AM,8:48 AM,12:30 PM,1:55 PM,3:05 PM,4:30 PM,5:55 PM
Frederica & Heath,7:25 AM,8:48 AM,12:30 PM,1:55 PM,3:05 PM,4:30 PM,5:55 PM
Frederica at James,7:25 AM,8:48 AM,12:30 PM,1:55 PM,3:05 PM,4:30 PM,5:55 PM
James & Gore,7:26 AM,8:49 AM,12:31 PM,1:56 PM,3:06 PM,4:31 PM,5:56 PM
Montreal & Bailey,7:27 AM,8:50 AM,12:32 PM,1:57 PM,3:07 PM,4:32 PM,5:57 PM
Montreal & Mountdale,7:27 AM,8:50 AM,12:32 PM,1:57 PM,3:07 PM,4:32 PM,5:57 PM
Bombardier Lot 1,7:27 AM,8:50 AM,12:32 PM,1:57 PM,3:07 PM,4:32 PM,5:57 PM
Bombardier Lot 2,7:29 AM,8:52 AM,12:34 PM,1:59 PM,3:09 PM,4:34 PM,5:59 PM
Neebing & Montreal,7:29 AM,8:52 AM,12:34 PM,1:59 PM,3:09 PM,4:34 PM,5:59 PM
Chippewa & Mountain,7:34 AM,8:57 AM,12:39 PM,2:04 PM,3:14 PM,4:39 PM,6:04 PM
Chippewa & James,7:38 AM,9:01 AM,12:43 PM,2:08 PM,3:18 PM,4:43 PM,6:08 PM
City Rd. & Chapmans,7:39 AM,9:02 AM,12:44 PM,2:09 PM,3:19 PM,4:44 PM,6:09 PM
City Rd. & K&A,7:39 AM,9:02 AM,12:44 PM,2:09 PM,3:19 PM,4:44 PM,6:09 PM
City Rd. & Back St.,7:40 AM,9:03 AM,12:45 PM,2:10 PM,3:20 PM,4:45 PM,6:10 PM
City Rd. & Mission Rd.,7:41 AM,9:04 AM,12:46 PM,2:11 PM,3:21 PM,4:46 PM,6:11 PM
Mission & Back,7:42 AM,9:05 AM,12:47 PM,2:12 PM,3:22 PM,4:47 PM,6:12 PM
FWFN Community Centre,7:45 AM,9:08 AM,12:50 PM,2:15 PM,3:25 PM,4:50 PM,6:15 PM
Anemki & Wolf,7:45 AM,9:08 AM,12:50 PM,2:15 PM,3:25 PM,4:50 PM,6:15 PM
Anemki & FWFN Office,7:46 AM,9:09 AM,12:51 PM,2:16 PM,3:26 PM,4:51 PM,6:16 PM
Mission & City Rd.,7:46 AM,9:09 AM,12:51 PM,2:16 PM,3:26 PM,4:51 PM,6:16 PM
City Rd. & Back St.,7:47 AM,9:10 AM,12:52 PM,2:17 PM,3:27 PM,4:52 PM,6:17 PM
City Rd. & K&A,7:48 AM,9:11 AM,12:53 PM,2:18 PM,3:28 PM,4:53 PM,6:18 PM
City Rd. & Chapmans,7:49 AM,9:12 AM,12:54 PM,2:19 PM,3:29 PM,4:54 PM,6:19 PM
City Rd. & James,7:51 AM,9:14 AM,12:56 PM,2:21 PM,3:31 PM,4:56 PM,6:21 PM
Chippewa & Mountain,7:52 AM,9:15 AM,12:57 PM,2:22 PM,3:32 PM,4:57 PM,6:22 PM
Bombardier Entrance,8:00 AM,9:23 AM,1:05 PM,2:30 PM,3:40 PM,5:05 PM,6:30 PM
Montreal & Mountdale,8:00 AM,9:23 AM,1:05 PM,2:30 PM,3:40 PM,5:05 PM,6:30 PM
Montreal & Bailey,8:01 AM,9:24 AM,1:06 PM,2:31 PM,3:41 PM,5:06 PM,6:31 PM
Frederica & Brown,8:05 AM,9:28 AM,1:10 PM,2:35 PM,3:45 PM,5:10 PM,6:35 PM
